Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Fuori scopo,55,Tue Dec 19 17:20:24 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather:400,300,300italic,400italic,700,700italic",403,Forbidden,0,130,63,,false,
Fuori scopo,56,Tue Dec 19 17:20:24 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather+Sans:400,700",403,Forbidden,0,130,63,,false,
Elaborato,57,Tue Dec 19 17:20:24 CET 2023,GET,https://cdnjs.cloudflare.com/ajax/libs/SimpleLightbox/2.1.0/simpleLightbox.min.css,200,OK,138,947,5307,Medio,false,
Elaborato,58,Tue Dec 19 17:20:24 CET 2023,GET,https://192.168.64.1:4433/favicon.ico,302,,39,460,0,,false,
Elaborato,59,Tue Dec 19 17:20:24 CET 2023,GET,https://192.168.64.1:4433/Icone/bg-masthead.jpg,302,,22,567,0,Basso,false,SetCookie
Elaborato,60,Tue Dec 19 17:20:24 CET 2023,GET,https://192.168.64.1:4433/oauth2/authorization/keycloak,302,,19,721,0,,false,
Fuori scopo,61,Tue Dec 19 17:20:24 CET 2023,GET,https://localhost:8443/auth/realms/SSDProject/protocol/openid-connect/auth?response_type=code&client_id=editor&scope=openid&state=EVhw_eBY0hOZp494kWd-9DoYQvsL81VHkmQ2EB6WcgM%3D&redirect_uri=https://192.168.64.1:4433/login/oauth2/code/keycloak&nonce=Obtkd65RpznoLG4NJ_s5zwlV-RYL4r06qI2Xip6yEZE,403,Forbidden,0,130,63,,false,
Elaborato,62,Tue Dec 19 17:20:25 CET 2023,GET,https://192.168.64.1:4433/login,200,,10,458,891,Medio,false,
Fuori scopo,63,Tue Dec 19 17:20:27 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,64,Tue Dec 19 17:20:27 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,65,Tue Dec 19 17:20:28 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,66,Tue Dec 19 17:20:29 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,67,Tue Dec 19 17:20:32 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,68,Tue Dec 19 17:20:32 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,69,Tue Dec 19 17:20:33 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,70,Tue Dec 19 17:20:33 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,71,Tue Dec 19 17:20:36 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,72,Tue Dec 19 17:20:36 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,73,Tue Dec 19 17:20:37 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,74,Tue Dec 19 17:20:38 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,75,Tue Dec 19 17:20:40 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,76,Tue Dec 19 17:20:40 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,77,Tue Dec 19 17:20:42 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,78,Tue Dec 19 17:20:42 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,79,Tue Dec 19 17:20:45 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,80,Tue Dec 19 17:20:45 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,81,Tue Dec 19 17:20:46 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,82,Tue Dec 19 17:20:47 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,83,Tue Dec 19 17:20:50 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
